Option,Heterosexual,Gay,Bisexual,Other
Strongly agree,334,34,57,29
Somewhat agree,210,15,12,7
No opinion,99,2,1,2
Somewhat disagree,71,5,3,2
Strongly disagree,41,1,0,0
