Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
Strongly agree,207,142,61,37,13
Somewhat agree,45,79,63,43,13
No opinion,13,31,34,16,10
Somewhat disagree,7,12,19,25,18
Strongly disagree,3,5,7,5,22
