Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree
Strongly agree,70,121,90,108,71
Somewhat agree,43,80,66,41,14
No opinion,30,30,27,12,5
Somewhat disagree,37,27,9,4,3
Strongly disagree,30,7,2,3,0
